ISBN13,Role,Name
9781509831975,Author,Margaret Wise Brown
9781509831975,Illustrator,Clement Hurd
9781883672546,Author,Phillip Hoose
9781883672546,IllustratorAuthor,Hannah Hoose
9781883672546,Illustrator,Debbie Tilley
9780451474575,Author,Anna Dewdney
9781405210546,Author,Margery Williams
9781405210546,Illustrator,William Nicholson
9780698116498,Author,Peggy Rathmann
9780545685368,Author,"Tui,T Sutherland"
9781409582144,Author,Katie Daynes
9781409582144,Illustrator,Marie-Eve Tremblay
9780734415868,Author,Shaun Tan
9780008201487,Author,Dr. Seuss
9780723288596,Author,Peppa Pig
9780743461511,Author,Doreen Cronin
9780312346065,Author,Nancy Tillman
9780140557749,Illustrated by,Istvan Banyai
9780140502428,Author,Eve Sutton
9780140502428,Illustrator,Lynley Dodd
9780746089217,Author,Catriona Clarke
9780746089217,Illustrator,Non Figg
9782848019840,Created by,Anne-Sophie Baumann
9782848019840,Illustrator,Didier Balicevic
9780996099943,Author,Carol McCloud
9780996099943,Illustrator,David Messing
9780008158286,Author,Sara Pennypacker
9780008158286,Illustrator,Jon Klassen
9781570911965,Author,Angeline Sparagna Lopresti
9781570911965,Illustrator,Phyllis Hornung
9781452146980,Author,Sherri Duskey Rinker
9781452146980,Illustrator,Tom Lichtenheld
9780140503012,Author,Allan Ahlberg
9780007302628,Author,Jez Alborough
9780689710681,Author,Robert C. O'Brien
9781877467523,Author,Soledad Bravi
9781780552309,Author,Hannah Davies
9780552545648,Author,Anthony Browne
9781409524472,Author,Jessica Greenwell
9781409524472,Illustrator,Cecilia Johansson
9781419704116,Author,Bobby George
9781419704116,IllustratorAuthor,June George
9781419704116,Illustrator,Alyssa Nassner
9781862308060,Author,Pat Hutchins
9780370007724,Author,Maurice Sendak
9780007549238,Author,Oliver Jeffers
9780394873343,Author,Stan Berenstain
9780394873343,IllustratorAuthor,Jan Berenstain
9780399243516,Author,Eric Hill
9780803736801,Author,Adam Rubin
9780803736801,Illustrator,Daniel Salmieri
9784774307077,Edited by,Shinobu Akaishi
9784774307077,IllustratorEdited by,Eno Sarris
9780618195633,Author,Catherine Thimmesh
9780618195633,Illustrator,Melissa Sweet
9780394856407,Author,Stan Berenstain
9780394856407,IllustratorAuthor,Jan Berenstain
9781406355345,Author,Aaron Becker
9781444921687,Author,Julian Gough
9781444921687,Illustrator,Jim Field
9780007413553,Author,Richard Scarry
9781845071103,Author,Jenni Overend
9781845071103,Illustrator,Julie Vivas
9780763646738,Author,Lucy Cousins
9781406313291,Author,Anthony Browne
9780671493202,Author,Sandra Boynton
9780723271680,Author,Peppa Pig
9781405206310,Author,Herge
9781409572138,Author,Anna Milbourne
9781409572138,Illustrator,Simona Dimitri
9781407124377,Author,Julia Donaldson
9781407124377,Illustrator,Axel Scheffler
9780141337418,Author,Allan Ahlberg
9780141337418,IllustratorAuthor,Janet Ahlberg
9780399230035,Author,Peggy Rathmann
9781406357912,Author,Chris Haughton
9781409301936,Author,Peppa Pig
9780399243202,Author,Eric Hill
9780486456942,Author,Alberta Hutchinson
9781847386328,Author,Robert Sabuda
9781908745132,Author,Tove Jansson
9780545581608,Author,Dav Pilkey
9780769646794,Compiled by,Brighter Child
9780723281580,Author,Ladybird
9781406323214,Author,Martin Handford
9780553521030,Author,Jill McDonald
9781846432774,Illustrated by,Rachel Fuller
9780007182336,Author,Oliver Jeffers
9780679890485,Author,Al Perkins
9780679890485,Illustrator,Eric Gurney
9780807594735,Author,Cornelia Spelman
9780761152507,Author,Mary Packard
9780761152507,IllustratorAuthor,Carolyn Croll
9780761152507,IllustratorWith,Workman Calendars
9781409520986,Author,Fiona Watt
9781409520986,Illustrator,Rachel Wells
